,cities,raw,address,zip
70,"Naples, FL ",Waffle House in 34114 at 3824 Tollhouse Dr,3824 Tollhouse Dr,34114
71,"Niceville, FL ",Waffle House in 32578 at 628 W John Sims Pky,628 W John Sims Pky,32578
72,"Niceville, FL ",Waffle House in 32578 at 4575 E Highway 20,4575 E Highway 20,32578
73,"Ocala, FL ",Waffle House in 34473 at 2065 SW Highway 484,2065 SW Highway 484,34473
74,"Ocala, FL ",Waffle House in 34474 at 3871 SW College Rd,3871 SW College Rd,34474
75,"Ocala, FL ",Waffle House in 34482 at 3921 W Silver Springs Blvd,3921 W Silver Springs Blvd,34482
76,"Ocala, FL ",Waffle House in 34482 at 3816 NW Blitchton Rd,3816 NW Blitchton Rd,34482
77,"Orange Park, FL ",Waffle House in 32073 at 151 Park Ave,151 Park Ave,32073
78,"Orange Park, FL ",Waffle House in 32073 at 165 Park Avenue,165 Park Avenue,32073
79,"Orlando, FL ",Waffle House in 32805 at 1307 S Orange Blossom Trl,1307 S Orange Blossom Trl,32805
80,"Orlando, FL ",Waffle House in 32809 at 8903 S Orange Blossom Trl,8903 S Orange Blossom Trl,32809
81,"Orlando, FL ",Waffle House in 32809 at 1736 Mccoy Rd,1736 Mccoy Rd,32809
82,"Orlando, FL ",Waffle House in 32817 at 11749 E Colonial Dr,11749 E Colonial Dr,32817
83,"Orlando, FL ",Waffle House in 32818 at 2801 N Apopka Vineland Rd,2801 N Apopka Vineland Rd,32818
84,"Orlando, FL ",Waffle House in 32818 at 6990 W Colonial Dr,6990 W Colonial Dr,32818
85,"Orlando, FL ",Waffle House in 32819 at 5350 S Kirkman Rd,5350 S Kirkman Rd,32819
86,"Orlando, FL ",Waffle House in 32836 at 12801 Apopka-vineland,12801 Apopka-vineland,32836
87,"Orlando, FL ",Waffle House in 32836 at 12805 County Road 535,12805 County Road 535,32836
88,"Orlando, FL ",Waffle House in 32837 at 13073 S Orange Blossom Trl,13073 S Orange Blossom Trl,32837
89,"Ormond Beach, FL ",Waffle House in 32174 at 1566 W Granada Blvd,1566 W Granada Blvd,32174
90,"Ormond Beach, FL ",Waffle House in 32174-8710 at 1570 N US Highway 1,1570 N US Highway 1,32174
91,"Ormond Beach, FL ",Waffle House in 32176 at 626 S Atlantic Ave,626 S Atlantic Ave,32176
92,"Panama City, FL ",Waffle House in 32401 at 631 W 15th St,631 W 15th St,32401
93,"Panama City, FL ",Waffle House in 32404 at 306 N Tyndall Pkwy,306 N Tyndall Pkwy,32404
94,"Panama City, FL ",Waffle House in 32408 at 7000 Thomas Dr,7000 Thomas Dr,32408
95,"Panama City Beach, FL ",Waffle House in 32407 at 10327 Front Beach Rd,10327 Front Beach Rd,32407
96,"Panama City Beach, FL ",Waffle House in 32407 at 11128 Front Beach Rd,11128 Front Beach Rd,32407
97,"Panama City Beach, FL ",Waffle House in 32413 at 17110 Panama City Beach Pkwy,17110 Panama City Beach Pkwy,32413
98,"Pensacola, FL ",Waffle House in 32502 at 401 E Gregory St,401 E Gregory St,32502
99,"Pensacola, FL ",Waffle House in 32504 at 7329 N Davis Hwy,7329 N Davis Hwy,32504
100,"Pensacola, FL ",Waffle House in 32504 at 6305 N 9th Ave,6305 N 9th Ave,32504
101,"Pensacola, FL ",Waffle House in 32505 at 6913 Pensacola Blvd,6913 Pensacola Blvd,32505
102,"Pensacola, FL ",Waffle House in 32506 at 9201 W Highway 98,9201 W Highway 98,32506
103,"Pensacola, FL ",Waffle House in 32506 at 4631 Mobile Hwy,4631 Mobile Hwy,32506
104,"Pensacola, FL ",Waffle House in 32507 at 105 S New Warrington Rd,105 S New Warrington Rd,32507
105,"Pensacola, FL ",Waffle House in 32507 at 17352 Perdido Key Dr,17352 Perdido Key Dr,32507
106,"Pensacola, FL ",Waffle House in 32507-7618 at 10457 Sorrento Rd,10457 Sorrento Rd,32507
107,"Pensacola, FL ",Waffle House in 32514 at 1907 E Nine Mile Rd,1907 E Nine Mile Rd,32514
108,"Pensacola, FL ",Waffle House in 32514 at 7817 N Davis Hwy,7817 N Davis Hwy,32514
109,"Pensacola, FL ",Waffle House in 32526 at 3399 W Michigan Ave,3399 W Michigan Ave,32526
110,"Pensacola, FL ",Waffle House in 32526 at 8010 Lavelle Way,8010 Lavelle Way,32526
111,"Pensacola, FL ",Waffle House in 32534 at 7999 Pensacola Blvd,7999 Pensacola Blvd,32534
112,"Pensacola, FL ",Waffle House in 32534 at 7 E Nine Mile Rd,7 E Nine Mile Rd,32534
113,"Port Charlotte, FL ",Waffle House in 33980 at 810 Kings Highway,810 Kings Highway,33980
114,"Port Charlotte, FL ",Waffle House in 33980 at 810 Kings Hwy,810 Kings Hwy,33980
115,"Sarasota, FL ",Waffle House in 34233 at 5737 Clark Rd,5737 Clark Rd,34233
116,"Sarasota, FL ",Waffle House in 34239 at 1414 S Tamiami Trl,1414 S Tamiami Trl,34239
117,"St Augustine, FL ",Waffle House in 32086 at 10070 Us Highway 1 S,10070 Us Highway 1 S,32086
118,"St Augustine, FL ",Waffle House in 32095 at 9990 Koa Rd,9990 Koa Rd,32095
119,"St Petersburg, FL ",Waffle House in 33706 at 7070 Gulf Boulevard,7070 Gulf Boulevard,33706
120,"St Petersburg, FL ",Waffle House in 33706 at 11185 Gulf Blvd,11185 Gulf Blvd,33706
121,"St Petersburg, FL ",Waffle House in 33706 at 7070 Gulf Blvd,7070 Gulf Blvd,33706
122,"St Petersburg, FL ",Waffle House in 33714 at 2525 54th Ave N,2525 54th Ave N,33714
123,"St Petersburg, FL ",Waffle House in 33714 at 2525 54th Ave N,2525 54th Ave N,33714
124,"Tallahassee, FL ",Waffle House in 32303 at 1670 Capital Cir Nw,1670 Capital Cir Nw,32303
125,"Tallahassee, FL ",Waffle House in 32303 at 3210 N Monroe St,3210 N Monroe St,32303
126,"Tallahassee, FL ",Waffle House in 32304 at 1939 W Tennessee St,1939 W Tennessee St,32304
127,"Tallahassee, FL ",Waffle House in 32305 at 777 Capital Cir Sw,777 Capital Cir Sw,32305
128,"Tallahassee, FL ",Waffle House in 32305 at 771 Capital Cir Sw,771 Capital Cir Sw,32305
129,"Tallahassee, FL ",Waffle House in 32309 at 3470 Thomasville Rd,3470 Thomasville Rd,32309
130,"Tallahassee, FL ",Waffle House in 32311-5306 at 3500 Apalachee Pkwy,3500 Apalachee Pkwy,32311
131,"Tallahassee, FL ",Waffle House in 32317 at 3090 Walden Rd,3090 Walden Rd,32317
132,"Tampa, FL ",Waffle House in 33609 at 509 N West Shore Blvd,509 N West Shore Blvd,33609
133,"Tampa, FL ",Waffle House in 33609 at 215 N Dale Mabry Hwy,215 N Dale Mabry Hwy,33609
134,"Tampa, FL ",Waffle House in 33610 at 6502 N Us-301,6502 N Us-301,33610
135,"Tampa, FL ",Waffle House in 33612 at 922 E Fowler Ave,922 E Fowler Ave,33612
0,"Bushnell, FL",single loc,2571 W C 48,33513
1,"Sanford, FL",single loc,4740 E State Road 46,32771
2,"Titusville, FL",single loc,3565 Cheney Hwy,32780
3,"Tarpon Springs, FL",single loc,40084 Us Highway 19 N,34689
4,"Navarre, FL",single loc,8582 Navarre Parkway,32566
5,"Boynton Beach, FL",single loc,700 W Boynton Beach Blvd,33426
6,"Shalimar, FL",single loc,1105 Eglin Pkwy,32579
7,"Belleview, FL",single loc,6041 SE Abshier Blvd,34420
8,"Bonita Springs, FL",single loc,28100 Quails Nest Ln,34135
9,"Vero Beach, FL",single loc,8825 20th St,32966
10,"Macclenny, FL",single loc,1495 S 6th St,32063
11,"Davenport, FL",single loc,44215 Highway 27,33897
12,"Brooksville, FL",single loc,30481 Cortez Blvd,34602
13,"Deltona, FL",single loc,414 Deltona Blvd,32725
14,"Wesley Chapel, FL",single loc,5421 Village Market,33544
15,"Key Largo, FL",single loc,100270 Overseas Hwy,33037-2581
16,"Ellenton, FL",single loc,1515 51st Ave E,34222
17,"Live Oak, FL",single loc,6635 Us Highway 129,32060
18,"Jacksonville Beach, FL",single loc,334 Beach Blvd,32250
19,"Palm Bay, FL",single loc,1168 Malabar Rd SE,32907
20,"Plantation, FL",single loc,4000 Davie Blvd,33317-7425
21,"Cocoa, FL",single loc,4465 King St,32926
22,"San Antonio, FL",single loc,29537 State Road 52,33576
23,"Plant City, FL",single loc,1201 Townsgate Ct,33563
24,"Bradenton, FL",single loc,603 67th St Cir E,34208
25,"Wildwood, FL",single loc,7954 NE 8th Way,34785
26,"Venice, FL",single loc,370 Commercial Ct,34292
27,"Cantonment, FL",single loc,1700 S Highway 29,32533
28,"Clearwater, FL",single loc,3920 Ulmerton Rd,33762
29,"Fort Myers Beach, FL",single loc,1167 Estero Blvd,33931
30,"Lynn Haven, FL",single loc,2502 S Highway 77,32444
31,"Cocoa Beach, FL",single loc,3665 N Atlantic Ave,32931
32,"Key West, FL",single loc,3852 N Roosevelt Blvd,33040
33,"Defuniak Springs, FL",single loc,586 Hugh Adams Rd,32435
34,"Davie, FL",single loc,4900 SW 148th Ave,33331
35,"Melbourne, FL",single loc,4660 W New Haven Ave,32904
36,"Punta Gorda, FL",single loc,26550 Jones Loop Rd,33950
37,"Chipley, FL",single loc,1680 Main St,32428
38,"Madison, FL",single loc,145 SE Bandit St,32340-5916
39,"Atlantic Beach, FL",single loc,2395 Mayport Rd,32233
40,"Alachua, FL",single loc,15979 Nw Us Highway 441,32615
41,"Daytona Beach, FL",single loc,2587 W International Speedway Blvd,32114
42,"Seffner, FL",single loc,11244 E Dr Martin Luther King Jr Blvd,33584
43,"Valrico, FL",single loc,2126 Jelane Dr,33594
0,"Acworth, GA ",Waffle House in 30101 at 3275 Cobb Pkwy Nw,3275 Cobb Pkwy Nw,30101
1,"Acworth, GA ",Waffle House in 30101-3706 at 3521 Baker Rd Nw,3521 Baker Rd Nw,30101
2,"Acworth, GA ",Waffle House in 30101-4517 at 1862 Mars Hill Rd Nw,1862 Mars Hill Rd Nw,30101
3,"Acworth, GA ",Waffle House in 30102-2085 at 1133 Highway 92,1133 Highway 92,30102
4,"Acworth, GA ",Waffle House in 30102-2517 at 5685 Bells Ferry Rd,5685 Bells Ferry Rd,30102
5,"Acworth, GA ",Waffle House in 30102-3115 at 5350 Glade Rd Se,5350 Glade Rd Se,30102
6,"Albany, GA ",Waffle House in 31705-2931 at 1702 E Oglethorpe Blvd,1702 E Oglethorpe Blvd,31705
7,"Albany, GA ",Waffle House in 31707 at 2501 N Slappey Blvd,2501 N Slappey Blvd,31707
8,"Albany, GA ",Waffle House in 31707-1400 at 722 N Westover Blvd,722 N Westover Blvd,31707
9,"Alpharetta, GA ",Waffle House in 30004 at 4752 Atlanta Highway,4752 Atlanta Highway,30004
10,"Alpharetta, GA ",Waffle House in 30004 at Atlanta Hwy,Atlanta Hwy,30004
11,"Alpharetta, GA ",Waffle House in 30004-1919 at 571 S Main St,571 S Main St,30004
12,"Alpharetta, GA ",Waffle House in 30004-4716 at 1605 Mansell Rd,1605 Mansell Rd,30004
13,"Alpharetta, GA ",Waffle House in 30004-6644 at 12370 Arnold Mill Rd,12370 Arnold Mill Rd,30004
14,"Alpharetta, GA ",Waffle House in 30005-2220 at 1515 Mcfarland Rd,1515 Mcfarland Rd,30005
15,"Alpharetta, GA ",Waffle House in 30005-4437 at 3319 Old Milton Pkwy,3319 Old Milton Pkwy,30005
16,"Alpharetta, GA ",Waffle House in 30022 at 2940 Mansell Rd,2940 Mansell Rd,30022
17,"Alpharetta, GA ",Waffle House in 30022-1660 at 2850 Holcomb Bridge Rd,2850 Holcomb Bridge Rd,30022
18,"Alpharetta, GA ",Waffle House in 30022-6573 at 10792 Jones Bridge Rd,10792 Jones Bridge Rd,30022
19,"Athens, GA ",Waffle House in 30601-1511 at 461 Calhoun Dr,461 Calhoun Dr,30601
20,"Athens, GA ",Waffle House in 30605 at 1255 S Milledge Ave,1255 S Milledge Ave,30605
21,"Athens, GA ",Waffle House in 30605 at 1310 Oconee St,1310 Oconee St,30605
22,"Athens, GA ",Waffle House in 30605-1608 at 2034 S Milledge Ave,2034 S Milledge Ave,30605
23,"Athens, GA ",Waffle House in 30606 at 8000 Macon Hwy,8000 Macon Hwy,30606
24,"Athens, GA ",Waffle House in 30606 at 1710 Old Epps Bridge Rd,1710 Old Epps Bridge Rd,30606
25,"Atlanta, GA ",Waffle House in 30303 at 167 Washington St SW,167 Washington St SW,30303
26,"Atlanta, GA ",Waffle House in 30303 at 100 Piedmont Ave SE,100 Piedmont Ave SE,30303
27,"Atlanta, GA ",Waffle House in 30305 at 3016 Piedmont Rd Ne,3016 Piedmont Rd Ne,30305
28,"Atlanta, GA ",Waffle House in 30305-2625 at 3061 Piedmont Rd Ne,3061 Piedmont Rd Ne,30305
29,"Atlanta, GA ",Waffle House in 30310 at 1371 Lee St Sw,1371 Lee St Sw,30310
30,"Atlanta, GA ",Waffle House in 30318-2601 at 1701 Northside Dr Nw,1701 Northside Dr Nw,30318
31,"Atlanta, GA ",Waffle House in 30318-3114 at 1700 Howell Mill Rd Nw,1700 Howell Mill Rd Nw,30318
32,"Atlanta, GA ",Waffle House in 30319-3005 at 4065 Peachtree Rd Ne,4065 Peachtree Rd Ne,30319
33,"Atlanta, GA ",Waffle House in 30324-3006 at 2581 Piedmont Rd NE,2581 Piedmont Rd NE,30324
34,"Atlanta, GA ",Waffle House in 30324-4235 at 2264 Cheshire Bridge Rd Ne,2264 Cheshire Bridge Rd Ne,30324
35,"Atlanta, GA ",Waffle House in 30327-4227 at 5565 Northside Dr Nw,5565 Northside Dr Nw,30327
36,"Atlanta, GA ",Waffle House in 30328 at 230 Mount Vernon Hwy Nw,230 Mount Vernon Hwy Nw,30328
37,"Atlanta, GA ",Waffle House in 30329-1644 at 2886 Clairmont Rd Ne,2886 Clairmont Rd Ne,30329
38,"Atlanta, GA ",Waffle House in 30329-2103 at 2812 Buford Hwy Ne,2812 Buford Hwy Ne,30329
39,"Atlanta, GA ",Waffle House in 30336 at 4120 Fulton Industrial Blvd Sw,4120 Fulton Industrial Blvd Sw,30336
40,"Atlanta, GA ",Waffle House in 30336 at 6035 Bakers Ferry Rd Sw,6035 Bakers Ferry Rd Sw,30336
41,"Atlanta, GA ",Waffle House in 30336-1907 at 4255 Shirley Dr Sw,4255 Shirley Dr Sw,30336
42,"Atlanta, GA ",Waffle House in 30336-1930 at 4346 Fulton Industrial Blvd SW,4346 Fulton Industrial Blvd SW,30336
43,"Atlanta, GA ",Waffle House in 30337 at 4852 Old National Highway,4852 Old National Highway,30337
44,"Atlanta, GA ",Waffle House in 30337 at 4852 Old National Hwy,4852 Old National Hwy,30337
45,"Atlanta, GA ",Waffle House in 30337 at 1425 Virginia Ave,1425 Virginia Ave,30337
46,"Atlanta, GA ",Waffle House in 30338 at 2230 Cotillion Dr,2230 Cotillion Dr,30338
47,"Atlanta, GA ",Waffle House in 30338 at 4532 Chamblee Dunwoody Rd,4532 Chamblee Dunwoody Rd,30338
48,"Atlanta, GA ",Waffle House in 30339-3125 at 2754 Cobb Pkwy,2754 Cobb Pkwy,30339
49,"Atlanta, GA ",Waffle House in 30340-1224 at 5600 Buford Hwy NE,5600 Buford Hwy NE,30340
50,"Atlanta, GA ",Waffle House in 30340-1226 at 5598 Buford Hwy. Ne,5598 Buford Hwy. Ne,30340
51,"Atlanta, GA ",Waffle House in 30341 at 2824 Chamblee Tucker Rd,2824 Chamblee Tucker Rd,30341
52,"Atlanta, GA ",Waffle House in 30341 at 3180 Chamblee Tucker Road,3180 Chamblee Tucker Road,30341
53,"Atlanta, GA ",Waffle House in 30341 at Chamblee Tucker Rd,Chamblee Tucker Rd,30341
54,"Atlanta, GA ",Waffle House in 30342-1914 at 5335 Roswell Rd Ne,5335 Roswell Rd Ne,30342
55,"Atlanta, GA ",Waffle House in 30342-4414 at 3735 Roswell Rd Ne,3735 Roswell Rd Ne,30342
56,"Atlanta, GA ",Waffle House in 30344 at 1227 Virginia Avenue,1227 Virginia Avenue,30344
57,"Atlanta, GA ",Waffle House in 30344 at 1674 Washington Avenue,1674 Washington Avenue,30344
58,"Atlanta, GA ",Waffle House in 30344 at 1674 Washington Road,1674 Washington Road,30344
59,"Atlanta, GA ",Waffle House in 30344-5211 at 1227 Virginia Ave,1227 Virginia Ave,30344
60,"Atlanta, GA ",Waffle House in 30349-3213 at 4995 Old National Hwy,4995 Old National Hwy,30349
61,"Atlanta, GA ",Waffle House in 30350 at 250 Northridge Road,250 Northridge Road,30350
62,"Atlanta, GA ",Waffle House in 30350-3310 at 250 Northridge Rd,250 Northridge Rd,30350
63,"Atlanta, GA ",Waffle House in 30354 at 3845 Browns Mill Road,3845 Browns Mill Road,30354
64,"Atlanta, GA ",Waffle House in 30354-2928 at 3845 Browns Mill Rd Se,3845 Browns Mill Rd Se,30354
65,"Atlanta, GA ",Waffle House in 30360 at 3171 Amwiler Rd,3171 Amwiler Rd,30360
66,"Atlanta, GA ",Waffle House in 30360 at 4375 Tilly Mill Road,4375 Tilly Mill Road,30360
67,"Atlanta, GA ",Waffle House in 30360 at 3171 Amwiler Road,3171 Amwiler Road,30360
68,"Atlanta, GA ",Waffle House in 30360-2609 at 4375 Tilly Mill Rd,4375 Tilly Mill Rd,30360
69,"Augusta, GA ",Waffle House in 30906 at 3134 Peach Orchard Rd,3134 Peach Orchard Rd,30906
70,"Augusta, GA ",Waffle House in 30906 at 3411 Mike Padgett Hwy,3411 Mike Padgett Hwy,30906
71,"Augusta, GA ",Waffle House in 30906 at 3408 Mike Padgett Hwy,3408 Mike Padgett Hwy,30906
72,"Augusta, GA ",Waffle House in 30906 at 1642 Gordon Hwy,1642 Gordon Hwy,30906
73,"Augusta, GA ",Waffle House in 30906 at 1629 Gordon Hwy,1629 Gordon Hwy,30906
74,"Augusta, GA ",Waffle House in 30906 at 3164 Deans Bridge Rd,3164 Deans Bridge Rd,30906
75,"Augusta, GA ",Waffle House in 30906-3378 at 3190 Deans Bridge Rd,3190 Deans Bridge Rd,30906
76,"Augusta, GA ",Waffle House in 30907 at 3042 Washington Rd,3042 Washington Rd,30907
77,"Augusta, GA ",Waffle House in 30907 at 599 Nw Frontage Rd,599 Nw Frontage Rd,30907
78,"Augusta, GA ",Waffle House in 30907 at 438 S Belair Rd,438 S Belair Rd,30907
79,"Augusta, GA ",Waffle House in 30907 at 440 S Belair Rd,440 S Belair Rd,30907
80,"Augusta, GA ",Waffle House in 30907-2022 at 2974 Riverwatch Pkwy,2974 Riverwatch Pkwy,30907
81,"Augusta, GA ",Waffle House in 30909 at 4077 Belair Rd,4077 Belair Rd,30909
82,"Augusta, GA ",Waffle House in 30909 at 1202 George C Wilson Dr,1202 George C Wilson Dr,30909
83,"Augusta, GA ",Waffle House in 30909 at 3417 Wrightsboro Rd,3417 Wrightsboro Rd,30909
84,"Augusta, GA ",Waffle House in 30909 at 2951 Washington Rd,2951 Washington Rd,30909
85,"Augusta, GA ",Waffle House in 30909 at 2139 Gordon Hwy,2139 Gordon Hwy,30909
86,"Augusta, GA ",Waffle House in 30909-4458 at 2057 Gordon Hwy,2057 Gordon Hwy,30909
87,"Bremen, GA ",Waffle House in 30110 at 3002 Alabama Ave S,3002 Alabama Ave S,30110
88,"Bremen, GA ",Waffle House in 30110-2559 at 1980 Alabama Ave S,1980 Alabama Ave S,30110
89,"Brunswick, GA ",Waffle House in 31520-1202 at 4941 New Jesup Hwy,4941 New Jesup Hwy,31520
90,"Brunswick, GA ",Waffle House in 31523 at Highway 17,Highway 17,31523
91,"Brunswick, GA ",Waffle House in 31523 at 125 Palisade Dr,125 Palisade Dr,31523
92,"Brunswick, GA ",Waffle House in 31523 at 5335 New Jesup Hwy,5335 New Jesup Hwy,31523
93,"Brunswick, GA ",Waffle House in 31523 at 3035 Us Highway 17 S,3035 Us Highway 17 S,31523
94,"Brunswick, GA ",Waffle House in 31525 at 110 Venture Drive,110 Venture Drive,31525
95,"Buford, GA ",Waffle House in 30518 at 4115 Buford Drive,4115 Buford Drive,30518
96,"Buford, GA ",Waffle House in 30518-3625 at 1570 Buford Hwy,1570 Buford Hwy,30518
97,"Buford, GA ",Waffle House in 30518-9001 at 4770 Friendship Rd,4770 Friendship Rd,30518
98,"Buford, GA ",Waffle House in 30519 at 3310 Hamilton Mill Rd,3310 Hamilton Mill Rd,30519
99,"Buford, GA ",Waffle House in 30519-4956 at 3270 Buford Dr,3270 Buford Dr,30519
100,"Buford, GA ",Waffle House in 30519-4957 at 3829 Buford Dr,3829 Buford Dr,30519
101,"Byron, GA ",Waffle House in 31008 at 241 Georgia 49,241 Georgia 49,31008
102,"Byron, GA ",Waffle House in 31008 at Georgia 49,Georgia 49,31008
103,"Byron, GA ",Waffle House in 31008 at 12021 Watson Blvd,12021 Watson Blvd,31008
104,"Byron, GA ",Waffle House in 31008 at 301 Ga Highway 49 N,301 Ga Highway 49 N,31008
105,"Byron, GA ",Waffle House in 31008 at Watson Blvd,Watson Blvd,31008
106,"Byron, GA ",Waffle House in 31008-4417 at 199 Pool St,199 Pool St,31008
107,"Canton, GA ",Waffle House in 30114 at 1605 Ball Ground Highway,1605 Ball Ground Highway,30114
108,"Canton, GA ",Waffle House in 30114 at Ball Ground Hwy,Ball Ground Hwy,30114
109,"Canton, GA ",Waffle House in 30114-3904 at 1849 Marietta Hwy Ste 1269,1849 Marietta Hwy Ste 1269,30114
110,"Canton, GA ",Waffle House in 30114-5613 at 1494 Riverstone Pkwy,1494 Riverstone Pkwy,30114
111,"Canton, GA ",Waffle House in 30114-6202 at 1625 Ball Ground Hwy,1625 Ball Ground Hwy,30114
112,"Canton, GA ",Waffle House in 30115 at 8018 Cumming Hwy,8018 Cumming Hwy,30115
113,"Canton, GA ",Waffle House in 30115-7252 at 6122 Hickory Flat Hwy,6122 Hickory Flat Hwy,30115
114,"Carrollton, GA ",Waffle House in 30116-8505 at 1201 Bankhead Hwy,1201 Bankhead Hwy,30116
115,"Carrollton, GA ",Waffle House in 30117 at 1114 N Park St,1114 N Park St,30117
116,"Carrollton, GA ",Waffle House in 30117-2229 at 1124 N Park St,1124 N Park St,30117
117,"Carrollton, GA ",Waffle House in 30117-4423 at 821 S Park St,821 S Park St,30117
118,"Cartersville, GA ",Waffle House in 30120 at 2 W Main St,2 W Main St,30120
119,"Cartersville, GA ",Waffle House in 30120 at 805 West Ave,805 West Ave,30120
120,"Cartersville, GA ",Waffle House in 30120 at 1355 Joe Frank Harris Pkwy Se,1355 Joe Frank Harris Pkwy Se,30120
121,"Cartersville, GA ",Waffle House in 30120-2935 at 300 N Dixie Ave,300 N Dixie Ave,30120
122,"Cartersville, GA ",Waffle House in 30121 at 2310 Highway 411 Ne,2310 Highway 411 Ne,30121
123,"Cartersville, GA ",Waffle House in 30121-4428 at 10 Carson Loop Nw,10 Carson Loop Nw,30121
124,"Cartersville, GA ",Waffle House in 30121-5211 at 5630 Hwy 20,5630 Hwy 20,30121
125,"Chamblee, GA ",Waffle House in 30341-1659 at 5970 Peachtree Industrial Blvd,5970 Peachtree Industrial Blvd,30341
126,"Chamblee, GA ",Waffle House in 30341-2702 at 5071 Peachtree Industrial Blvd,5071 Peachtree Industrial Blvd,30341
127,"Chamblee, GA ",Waffle House in 30341-3504 at 4966 Buford Hwy,4966 Buford Hwy,30341
128,"Chamblee, GA ",Waffle House in 30341-3926 at 2824 Chamblee Tucker Rd,2824 Chamblee Tucker Rd,30341
129,"Chamblee, GA ",Waffle House in 30341-4216 at 3281 Buckeye Rd,3281 Buckeye Rd,30341
130,"Columbus, GA ",Waffle House in 31904 at 2727 Manchester Expy,2727 Manchester Expy,31904
131,"Columbus, GA ",Waffle House in 31904 at 1646 Bradley Park Dr,1646 Bradley Park Dr,31904
132,"Columbus, GA ",Waffle House in 31907 at 3455 Macon Rd,3455 Macon Rd,31907
133,"Columbus, GA ",Waffle House in 31907 at 6390 Flat Rock Rd,6390 Flat Rock Rd,31907
134,"Columbus, GA ",Waffle House in 31907 at 5701 Milgen Rd,5701 Milgen Rd,31907
135,"Columbus, GA ",Waffle House in 31907 at 4005 Buena Vista Rd,4005 Buena Vista Rd,31907
136,"Columbus, GA ",Waffle House in 31909 at 6755 Veterans Pkwy,6755 Veterans Pkwy,31909
137,"Columbus, GA ",Waffle House in 31909 at 6751 Veterans Pkwy,6751 Veterans Pkwy,31909
138,"Conyers, GA ",Waffle House in 30012 at 1174 West Ave Sw,1174 West Ave Sw,30012
139,"Conyers, GA ",Waffle House in 30012 at 1820 Hwy 138 Ne,1820 Hwy 138 Ne,30012
140,"Conyers, GA ",Waffle House in 30012-3451 at 2260 Sigman Rd Sw,2260 Sigman Rd Sw,30012
141,"Conyers, GA ",Waffle House in 30013 at 2021 Iris Dr Se,2021 Iris Dr Se,30013
142,"Conyers, GA ",Waffle House in 30013-1275 at 1420 Highway 138 Se,1420 Highway 138 Se,30013
143,"Conyers, GA ",Waffle House in 30013-1824 at 2102 Salem Rd Se,2102 Salem Rd Se,30013
144,"Conyers, GA ",Waffle House in 30013-2046 at 1886 Highway 20 Se,1886 Highway 20 Se,30013
145,"Conyers, GA ",Waffle House in 30013-5832 at 1100 Nortec Dr SE,1100 Nortec Dr SE,30013
146,"Conyers, GA ",Waffle House in 30094-5936 at 1294 Iris Dr Sw,1294 Iris Dr Sw,30094
147,"Cordele, GA ",Waffle House in 31010 at 1007 Arc Way Ave.,1007 Arc Way Ave.,31010
148,"Cordele, GA ",Waffle House in 31015 at 2006 E 16th Ave,2006 E 16th Ave,31015
149,"Cordele, GA ",Waffle House in 31015 at 3402 Frontage Rd,3402 Frontage Rd,31015
150,"Cornelia, GA ",Waffle House in 30531 at 1292 Level Grove Rd,1292 Level Grove Rd,30531
151,"Cornelia, GA ",Waffle House in 30531 at 1458 Level Grove Rd,1458 Level Grove Rd,30531
152,"Cornelia, GA ",Waffle House in 30531 at 599 Historic 441 Hwy,599 Historic 441 Hwy,30531
153,"Covington, GA ",Waffle House in 30014 at 10690 By Pass Rd,10690 By Pass Rd,30014
154,"Covington, GA ",Waffle House in 30014-1098 at 10106 Alcovy Rd,10106 Alcovy Rd,30014
155,"Covington, GA ",Waffle House in 30014-1536 at 8239 Highway 278 Ne,8239 Highway 278 Ne,30014
156,"Covington, GA ",Waffle House in 30014-2140 at 6137 Highway 278 Nw,6137 Highway 278 Nw,30014
157,"Covington, GA ",Waffle House in 30016 at 12985 Brown Bridge Rd,12985 Brown Bridge Rd,30016
158,"Cumming, GA ",Waffle House in 30040 at 6026 Bethelview Rd,6026 Bethelview Rd,30040
159,"Cumming, GA ",Waffle House in 30040 at 531 Canton Rd,531 Canton Rd,30040
160,"Cumming, GA ",Waffle House in 30041-2717 at 903 Buford Rd,903 Buford Rd,30041
161,"Cumming, GA ",Waffle House in 30041-3936 at 2837 Keith Bridge Rd,2837 Keith Bridge Rd,30041
162,"Cumming, GA ",Waffle House in 30041-6400 at 310 Brannon Rd,310 Brannon Rd,30041
163,"Dacula, GA ",Waffle House in 30019-2216 at 1800 Winder Hwy,1800 Winder Hwy,30019
164,"Dacula, GA ",Waffle House in 30019-2448 at 725 Harbins Rd,725 Harbins Rd,30019
165,"Dallas, GA ",Waffle House in 30157 at 505 Nathan Dean Boulevard,505 Nathan Dean Boulevard,30157
166,"Dallas, GA ",Waffle House in 30157-3100 at 20 Hosiery Mill Rd,20 Hosiery Mill Rd,30157
167,"Dallas, GA ",Waffle House in 30157-3301 at 4082 Marietta Hwy,4082 Marietta Hwy,30157
168,"Dallas, GA ",Waffle House in 30157-5430 at 247 Villa Rica Hwy,247 Villa Rica Hwy,30157
169,"Dalton, GA ",Waffle House in 30720 at Walnut Ave,Walnut Ave,30720
170,"Dalton, GA ",Waffle House in 30720 at 246 Connector 3 Sw,246 Connector 3 Sw,30720
171,"Dalton, GA ",Waffle House in 30720 at 1912 Chattanooga Rd,1912 Chattanooga Rd,30720
